CAGDP2 Gross domestic product (GDP) by county 1
CAGDP2 Gross domestic product (GDP) by county 1
County
GeoFIPS,GeoName,LineCode,Description,2022,2023,2024
42011,"Berks, PA",35,"    Retail trade",1491441,1616221,1681070
42011,"Berks, PA",36,"    Transportation and warehousing",1198995,1015566,1167449
42011,"Berks, PA",45,"    Information",485477,444660,442089
42011,"Berks, PA",50,"    Finance, insurance, real estate, rental, and leasing",5030109,5315563,5504459
42011,"Berks, PA",51,"      Finance and insurance",1258915,1356619,1348154
42011,"Berks, PA",56,"      Real estate and rental and leasing",3771193,3958945,4156305
42011,"Berks, PA",59,"    Professional and business services",2756578,2948120,3193033
42011,"Berks, PA",60,"      Professional, scientific, and technical services",1135938,1203190,1275692
42011,"Berks, PA",64,"      Management of companies and enterprises",892232,943994,1100266
42011,"Berks, PA",65,"      Administrative and support and waste management and remediation services",728408,800936,817075
42011,"Berks, PA",68,"    Educational services, health care, and social assistance",2771595,2968645,3147029
42011,"Berks, PA",69,"      Educational services",189505,197286,209418
42011,"Berks, PA",70,"      Health care and social assistance",2582090,2771359,2937611
42011,"Berks, PA",75,"    Arts, entertainment, recreation, accommodation, and food services",713697,811888,843159
42011,"Berks, PA",76,"      Arts, entertainment, and recreation",124647,168717,181433
42011,"Berks, PA",79,"      Accommodation and food services",589050,643172,661727
42011,"Berks, PA",82,"    Other services (except government and government enterprises)",599873,664697,713565
42011,"Berks, PA",83,Government and government enterprises,1968242,2053544,2171636
42011,"Berks, PA",,Addenda:,,,
42011,"Berks, PA",87,Natural resources and mining,445738,364556,342017
42011,"Berks, PA",88,Trade,2770729,3000647,3067038
42011,"Berks, PA",89,Transportation and utilities,1625247,1467542,1604058
42011,"Berks, PA",90,Manufacturing and information,4330625,4674861,4799207
42011,"Berks, PA",91,Private goods-producing industries 2,5334769,5721765,5894053
42011,"Berks, PA",92,Private services-providing industries 3,16753305,17621763,18514431
42013,"Blair, PA",1,All industry total,7229919,7678496,8000149
42013,"Blair, PA",2,"  Private industries",6412996,6807345,7098845
42013,"Blair, PA",3,"    Agriculture, forestry, fishing and hunting",92726,45145,38115
42013,"Blair, PA",6,"    Mining, quarrying, and oil and gas extraction",50166,56989,22902
42013,"Blair, PA",10,"    Utilities",36818,35590,39394
42013,"Blair, PA",11,"    Construction",237627,269720,295193
42013,"Blair, PA",12,"    Manufacturing",873071,952566,992458
42013,"Blair, PA",13,"      Durable goods manufacturing",375481,402270,422103
42013,"Blair, PA",25,"      Nondurable goods manufacturing",497591,550297,570354
42013,"Blair, PA",34,"    Wholesale trade",518111,551693,566284
42013,"Blair, PA",35,"    Retail trade",740302,805935,842582
42013,"Blair, PA",36,"    Transportation and warehousing",543917,512715,528415
42013,"Blair, PA",45,"    Information",465115,445378,443066
42013,"Blair, PA",50,"    Finance, insurance, real estate, rental, and leasing",915115,1051542,1114515
42013,"Blair, PA",51,"      Finance and insurance",197808,220654,233009
42013,"Blair, PA",56,"      Real estate and rental and leasing",717306,830888,881506
42013,"Blair, PA",59,"    Professional and business services",571260,615071,692456
42013,"Blair, PA",60,"      Professional, scientific, and technical services",226258,240705,265545
42013,"Blair, PA",64,"      Management of companies and enterprises",205187,205881,250755
42013,"Blair, PA",65,"      Administrative and support and waste management and remediation services",139814,168485,176156
42013,"Blair, PA",68,"    Educational services, health care, and social assistance",952240,1005701,1046829
42013,"Blair, PA",69,"      Educational services",27052,29919,32223
42013,"Blair, PA",70,"      Health care and social assistance",925188,975781,1014606
42013,"Blair, PA",75,"    Arts, entertainment, recreation, accommodation, and food services",241949,272899,274986
42013,"Blair, PA",76,"      Arts, entertainment, and recreation",58347,61828,64951
42013,"Blair, PA",79,"      Accommodation and food services",183602,211071,210034
42013,"Blair, PA",82,"    Other services (except government and government enterprises)",174581,186403,201651
42013,"Blair, PA",83,Government and government enterprises,816923,871151,901304
42013,"Blair, PA",,Addenda:,,,
42013,"Blair, PA",87,Natural resources and mining,142892,102133,61017
42013,"Blair, PA",88,Trade,1258413,1357628,1408867
42013,"Blair, PA",89,Transportation and utilities,580735,548305,567809
42013,"Blair, PA",90,Manufacturing and information,1338186,1397944,1435524
42013,"Blair, PA",91,Private goods-producing industries 2,1253590,1324419,1348667
42013,"Blair, PA",92,Private services-providing industries 3,5159406,5482926,5750178
42015,"Bradford, PA",1,All industry total,5681386,6281787,6798065
42015,"Bradford, PA",2,"  Private industries",5428077,6018729,6526312
42015,"Bradford, PA",3,"    Agriculture, forestry, fishing and hunting",104665,64699,31598
42015,"Bradford, PA",6,"    Mining, quarrying, and oil and gas extraction",1991232,1402020,1124650
42015,"Bradford, PA",10,"    Utilities",315649,343710,316573
42015,"Bradford, PA",11,"    Construction",79286,87423,93340
42015,"Bradford, PA",12,"    Manufacturing",1236175,2152018,2900183
42015,"Bradford, PA",13,"      Durable goods manufacturing",249270,250235,227495
42015,"Bradford, PA",25,"      Nondurable goods manufacturing",986905,1901784,2672687
42015,"Bradford, PA",34,"    Wholesale trade",68676,70662,72156
42015,"Bradford, PA",35,"    Retail trade",203195,225634,234293
42015,"Bradford, PA",36,"    Transportation and warehousing",165504,298990,302039
42015,"Bradford, PA",45,"    Information",38247,39361,42119
42015,"Bradford, PA",50,"    Finance, insurance, real estate, rental, and leasing",441562,481994,488699
42015,"Bradford, PA",51,"      Finance and insurance",101113,119586,122631
42015,"Bradford, PA",56,"      Real estate and rental and leasing",340449,362409,366068
42015,"Bradford, PA",59,"    Professional and business services",180759,194059,204629
42015,"Bradford, PA",60,"      Professional, scientific, and technical services",56143,58038,61194
42015,"Bradford, PA",64,"      Management of companies and enterprises",89748,101291,105663
42015,"Bradford, PA",65,"      Administrative and support and waste management and remediation services",34868,34731,37772
42015,"Bradford, PA",68,"    Educational services, health care, and social assistance",473899,523231,573650
42015,"Bradford, PA",69,"      Educational services",5945,5902,6763
42015,"Bradford, PA",70,"      Health care and social assistance",467953,517328,566888
42015,"Bradford, PA",75,"    Arts, entertainment, recreation, accommodation, and food services",65617,68845,71944
42015,"Bradford, PA",76,"      Arts, entertainment, and recreation",5676,5643,5905
42015,"Bradford, PA",79,"      Accommodation and food services",59940,63202,66040
42015,"Bradford, PA",82,"    Other services (except government and government enterprises)",63611,66083,70439
42015,"Bradford, PA",83,Government and government enterprises,253309,263058,271753
42015,"Bradford, PA",,Addenda:,,,
42015,"Bradford, PA",87,Natural resources and mining,2095897,1466718,1156248
42015,"Bradford, PA",88,Trade,271871,296296,306449
42015,"Bradford, PA",89,Transportation and utilities,481153,642700,618612
42015,"Bradford, PA",90,Manufacturing and information,1274422,2191380,2942302
42015,"Bradford, PA",91,Private goods-producing industries 2,3411358,3706160,4149771
42015,"Bradford, PA",92,Private services-providing industries 3,2016719,2312570,2376542
42017,"Bucks, PA",1,All industry total,43581226,46255811,48826773
42017,"Bucks, PA",2,"  Private industries",40951816,43501888,45947098
42017,"Bucks, PA",3,"    Agriculture, forestry, fishing and hunting",75503,74154,22209
42017,"Bucks, PA",6,"    Mining, quarrying, and oil and gas extraction",33798,36860,167354
42017,"Bucks, PA",10,"    Utilities",507331,551606,526613
42017,"Bucks, PA",11,"    Construction",2463412,2681943,2725608
42017,"Bucks, PA",12,"    Manufacturing",4870776,5349086,5411855
42017,"Bucks, PA",13,"      Durable goods manufacturing",2248098,2309657,2359889
42017,"Bucks, PA",25,"      Nondurable goods manufacturing",2622678,3039430,3051966
